,model,alpha,length,loc_error,num_traj,UCL,eduN,UPV-MAT,Erasmus MC,WUST ML A,WUST ML B,BIT
1097,sbm,0.05,760,7.33,3,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333
1098,sbm,0.05,760,10.0,2,1.0,1.0,1.0,0.5,1.0,1.0,0.5
1099,sbm,0.25,760,1.0,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
1100,sbm,0.25,760,1.33,4,1.0,1.0,1.0,0.5,1.0,0.75,0.5
1101,sbm,0.25,760,4.0,2,1.0,1.0,1.0,1.0,0.5,1.0,0.5
1102,sbm,0.25,760,4.33,6,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,1.0,0.6666666666666666,0.8333333333333334
1103,sbm,0.25,760,4.67,2,1.0,1.0,1.0,1.0,1.0,0.5,0.5
1104,sbm,0.25,760,7.33,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1105,sbm,0.25,760,10.0,3,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.3333333333333333
1106,sbm,0.45,760,1.33,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0
1107,sbm,0.45,760,1.67,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1108,sbm,0.45,760,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1109,sbm,0.45,760,4.0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1110,sbm,0.45,760,4.33,6,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666
1111,sbm,0.45,760,7.0,3,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666
1112,sbm,0.6500000000000001,760,1.33,4,1.0,1.0,0.75,1.0,1.0,0.25,0.5
1113,sbm,0.6500000000000001,760,1.67,2,1.0,1.0,1.0,1.0,1.0,0.5,0.0
1114,sbm,0.6500000000000001,760,4.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1115,sbm,0.6500000000000001,760,4.33,4,1.0,1.0,1.0,1.0,0.75,0.5,0.25
1116,sbm,0.6500000000000001,760,4.67,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333
1117,sbm,0.6500000000000001,760,7.0,2,1.0,1.0,1.0,1.0,1.0,0.5,0.0
1118,sbm,0.6500000000000001,760,7.33,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1119,sbm,0.6500000000000001,760,10.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1120,sbm,0.8500000000000001,760,1.33,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1121,sbm,0.8500000000000001,760,1.67,3,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
1122,sbm,0.8500000000000001,760,4.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1123,sbm,0.8500000000000001,760,4.33,3,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0
1124,sbm,0.8500000000000001,760,4.67,4,1.0,1.0,1.0,1.0,1.0,0.75,0.0
1125,sbm,0.8500000000000001,760,7.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1126,sbm,0.8500000000000001,760,7.33,5,0.8000000000000002,1.0,0.8000000000000002,0.8000000000000002,1.0,1.0,0.20000000000000004
1127,sbm,1.05,760,1.33,2,1.0,1.0,1.0,1.0,1.0,0.5,0.0
1128,sbm,1.05,760,1.67,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1129,sbm,1.05,760,2.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1130,sbm,1.05,760,4.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1131,sbm,1.05,760,4.67,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1132,sbm,1.05,760,7.0,2,1.0,1.0,1.0,1.0,1.0,0.5,0.5
1133,sbm,1.05,760,7.33,4,1.0,1.0,1.0,1.0,0.75,1.0,0.75
1134,sbm,1.2500000000000002,760,1.33,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0
1135,sbm,1.2500000000000002,760,2.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1136,sbm,1.2500000000000002,760,4.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.5
1137,sbm,1.2500000000000002,760,4.33,6,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333334
1138,sbm,1.2500000000000002,760,4.67,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1139,sbm,1.2500000000000002,760,7.0,2,1.0,1.0,1.0,0.5,1.0,0.5,1.0
1140,sbm,1.2500000000000002,760,7.33,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1141,sbm,1.4500000000000002,760,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1142,sbm,1.4500000000000002,760,1.33,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1143,sbm,1.4500000000000002,760,1.67,4,1.0,1.0,1.0,1.0,0.75,1.0,0.0
1144,sbm,1.4500000000000002,760,4.0,4,1.0,1.0,1.0,1.0,1.0,0.75,1.0
1145,sbm,1.4500000000000002,760,4.33,2,1.0,1.0,1.0,1.0,1.0,0.5,1.0
1146,sbm,1.4500000000000002,760,4.67,3,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0
1147,sbm,1.4500000000000002,760,7.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1148,sbm,1.4500000000000002,760,7.33,2,1.0,1.0,1.0,1.0,1.0,1.0,0.5
1149,sbm,1.4500000000000002,760,10.0,3,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0
1150,sbm,1.6500000000000001,760,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1151,sbm,1.6500000000000001,760,1.33,2,1.0,1.0,1.0,1.0,1.0,1.0,0.5
1152,sbm,1.6500000000000001,760,4.33,3,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0
1153,sbm,1.6500000000000001,760,7.0,3,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0
1154,sbm,1.85,760,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1155,sbm,1.85,760,1.33,2,1.0,1.0,1.0,1.0,1.0,1.0,0.5
1156,sbm,1.85,760,1.67,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1157,sbm,1.85,760,2.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1158,sbm,1.85,760,4.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1159,sbm,1.85,760,4.33,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
1160,sbm,1.85,760,4.67,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1161,sbm,1.85,760,7.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1162,sbm,1.85,760,7.33,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1163,sbm,1.85,760,10.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1164,sbm,0.05,810,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1165,sbm,0.05,810,1.33,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1166,sbm,0.05,810,1.67,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1167,sbm,0.05,810,4.0,4,1.0,1.0,1.0,0.75,1.0,0.5,0.75
1168,sbm,0.05,810,4.33,4,1.0,1.0,1.0,1.0,0.75,0.75,0.5
1169,sbm,0.05,810,4.67,5,1.0,1.0,1.0,0.8000000000000002,1.0,0.4000000000000001,0.6
1170,sbm,0.05,810,7.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1171,sbm,0.05,810,7.33,3,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666
1172,sbm,0.25,810,1.33,3,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666
1173,sbm,0.25,810,1.67,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1174,sbm,0.25,810,2.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1175,sbm,0.25,810,4.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.5
1176,sbm,0.25,810,4.33,10,1.0,1.0,1.0,0.9,0.8000000000000002,0.7,0.5
1177,sbm,0.25,810,4.67,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1178,sbm,0.25,810,7.0,4,0.75,0.75,0.5,0.5,0.75,0.75,0.25
